id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3115717,Short-term stay in Hong Kong,15831550,Timothy,,Islands,22.30425,114.00937,Entire home/apt,1200,2,134,2022-11-20,1.29,1,355,11,
3140677,BIG 1 BEDROOM + Office - QUIET,8659457,Kay,,Central & Western,22.28421,114.1497,Entire home/apt,1200,28,74,2020-11-01,0.71,3,123,0,
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Hotel room,263,1,148,2022-11-10,1.18,5,1,1,
1229848,"Cool Stanley Surf Flat, big rftp summer mth discnt",6708889,Marcos,,Southern,22.21892,114.21369,Entire home/apt,1000,30,30,2019-06-08,0.27,2,336,0,
1312023,Flat share room in Yau Ma Tei,4584648,Ivy,,Yau Tsim Mong,22.31214,114.17227,Private room,620,30,0,,,383,365,0,
3152441,AMAZING Top Floor Seaview STAR Ensuite,15586744,Sven,,Sai Kung,22.29396,114.27094,Private room,600,28,8,2019-06-20,0.08,15,0,0,
646645,Creative Residence. Private Room,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Private room,280,3,37,2020-01-09,0.29,5,0,0,
3170735,280 sq ft Open Concept Jordan Kowloon,3687211,Edna,,Yau Tsim Mong,22.30374,114.16949,Entire home/apt,590,2,6,2022-11-11,0.06,1,342,2,
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31807,114.17081,Private room,337,28,10,2022-03-28,0.08,4,214,1,
728126,Nice View Room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31808,114.1706,Private room,420,28,17,2017-10-08,0.14,4,3,0,
733192,Peaceful Two Bedroom 2 Min walk to Mong Kok MTR,3820308,David,,Yau Tsim Mong,22.32135,114.16919,Entire home/apt,741,1,83,2022-11-22,0.67,13,272,5,
1476913,Neat Cozy Studio for 1-3 @ Wan Chai,2716535,Jade,,Wan Chai,22.27834,114.17437,Entire home/apt,564,2,9,2016-05-04,0.08,2,178,0,
1534018,Old Hong Kong charm,8178525,Lesley,,Central & Western,22.28611,114.13637,Private room,750,3,1,2014-08-18,0.01,1,270,0,
1591100,Large Bright Designer Apartment,168410,Edmond,,Central & Western,22.28725,114.14153,Entire home/apt,1094,2,4,2022-11-06,1.52,1,1,4,
1623311,Spacious homey 1BR in Central SoHo Area,8632157,Sara,,Central & Western,22.28115,114.15348,Entire home/apt,800,7,7,2015-12-28,0.06,1,0,0,
1642196,Taikoo Shing Luxury 1024 sqft High-Floor Apt,1190017,Paul,,Eastern,22.28934,114.21915,Entire home/apt,2000,30,0,,,3,365,0,
1643979,3BedR + 3BathR @ Hennessy Road 10/F 580SF,1375696,C S,,Wan Chai,22.27814,114.1701,Entire home/apt,2323,7,26,2022-01-04,0.23,5,113,1,
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31828,114.17047,Private room,396,28,21,2022-04-29,0.17,4,291,4,
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.31792,114.17042,Private room,291,28,45,2022-03-31,0.37,4,350,1,
3177173,Hennessy Cozy washer Wifi MTR #SA,16111024,Celine,,Wan Chai,22.27788,114.1763,Entire home/apt,400,18,34,2022-11-09,0.34,3,216,3,
767022,Hong Kong - Great views/Location!,1853636,Ella,,Southern,22.23025,114.21702,Entire home/apt,7015,90,5,2017-04-16,0.04,1,36,0,
792974,STUDIO with ROOF in HEART of SOHO,2172438,Joy,,Central & Western,22.28044,114.15064,Entire home/apt,1024,3,26,2020-08-03,0.22,1,266,0,
849316,Causeway Bay Nr Times Sq: Full Apartment,4414395,Mike,,Wan Chai,22.27742,114.18156,Entire home/apt,380,1,90,2022-12-05,0.81,1,0,8,
850531,❤❤SuperHost's Private Bedroom on HK Island @TinHau,4441809,Super Host Gordon :-),,Wan Chai,22.27981,114.19137,Private room,304,2,501,2020-07-05,4.13,1,0,0,
860891,Two Bedroom Apartment W. MID-LEVELS  西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28483,114.14237,Entire home/apt,1169,60,1,2022-12-11,1,2,89,1,
1708543,Spacious studio in heart of SoHo,7456732,Patrick,,Central & Western,22.28203,114.15223,Entire home/apt,960,2,8,2017-06-12,0.07,1,0,0,
1745925,walk 30sec to Yau Ma Tei MTR Rm10,3704487,Daniel,,Yau Tsim Mong,22.31467,114.16983,Private room,2000,1,127,2017-12-16,1.14,3,0,0,
1749208,walk 30sec to Yau Ma Tei MTR Rm11,3704487,Daniel,,Yau Tsim Mong,22.31248,114.16904,Private room,1286,1,77,2017-01-18,0.70,3,0,0,
1752310,"Modern Large Studio , Heart of city",808933,J,,Wan Chai,22.27547,114.17369,Entire home/apt,716,2,133,2022-11-21,1.19,3,257,3,
1774268,"Sun & moon, food and drink",9318245,Sy,,Yuen Long,22.48134,114.05844,Private room,1000,1,0,,,3,362,0,
860892,Two Bedrooms Apartmt @ W. Mid-Level  西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28294,114.14081,Entire home/apt,1130,60,1,2017-12-01,0.02,2,89,0,
861654,"Quiet 1 BR minutes walk to Austin, YMT, Jordan MTR",3820308,David,,Yau Tsim Mong,22.30246,114.17543,Entire home/apt,487,2,36,2022-10-21,0.30,13,353,2,
3177277,Comfy Studio MTR Wifi Washer #SB,16111024,Celine,,Wan Chai,22.27783,114.17478,Entire home/apt,333,21,70,2020-12-08,0.70,3,347,0,
869969,Studio available in Prince Edward,4584648,Ivy,,Kowloon City,22.32514,114.17712,Private room,217,30,2,2015-06-22,0.02,383,364,0,
3177295,CityView MTR Wifi Washer #SC,16111024,Celine,,Wan Chai,22.27803,114.17808,Entire home/apt,558,21,40,2022-08-16,0.39,3,333,1,
1796187,Hong Kong Seafront Surf Shack,5632220,Andrew,,Southern,22.2307536,114.2510366,Entire home/apt,600,3,77,2022-11-25,0.69,2,364,5,
1800060,Spacious & Modern in Mid-levels,9237185,Brooke,,Central & Western,22.27987,114.15639,Entire home/apt,4677,5,16,2020-01-04,0.15,1,9,0,
1887852,Stunning Studio in Causeway Bay (c25c),4584648,Ivy,,Central & Western,22.28115,114.15777,Private room,217,30,2,2018-12-20,0.02,383,365,0,
870046,10 mins to CITY U --------- by MTR,4584648,Ivy,,Yau Tsim Mong,22.31318,114.16845,Entire home/apt,180,30,1,2014-05-29,0.01,383,365,0,
3241897,Great High Rise Apartment in Quiet neighborhood,16403437,Green,,Tsuen Wan,22.3714,114.13111,Private room,1000,1,2,2022-02-14,0.08,1,364,1,
3315931,SPECTACULAR Seaview COOL Room,15586744,Sven,,Sai Kung,22.29311,114.27338,Private room,500,28,37,2020-01-04,0.39,15,361,0,
894221,Best room for you near MTR,4584648,Ivy,,Yau Tsim Mong,22.31453,114.16863,Private room,180,30,0,,,383,365,0,
894224,Tsimshatsui Room in Flat Share,4584648,Ivy,,Yau Tsim Mong,22.31006,114.17138,Private room,140,31,1,2013-09-25,0.01,383,242,0,
1910193,FLATSHARE in North Point,4584648,Ivy,,Eastern,22.28853,114.19887,Private room,180,30,1,2015-07-25,0.01,383,365,0,
3346038,AMAZING Top Floor Seaview SKY Room,15586744,Sven,,Sai Kung,22.29436,114.27223,Private room,550,28,24,2018-10-13,0.23,15,0,0,
1922220,Right smack 'n Central Hong Kong!!,5181284,Peter,,Central & Western,22.28335,114.15275,Entire home/apt,647,20,89,2017-04-30,0.81,2,90,0,
3351296,AMAZING Top Floor Seaview CLOUD Room,15586744,Sven,,Sai Kung,22.29595,114.27076,Private room,450,28,2,2016-11-01,0.02,15,0,0,
1944230,3 BR hidden gem over hideaway beach,10056448,Annie,,Islands,22.29376,114.02168,Entire home/apt,1800,7,57,2022-09-03,0.52,2,254,1,
1971970,Wan Chai  room ---- Available  !!!,4584648,Ivy,,Wan Chai,22.27695,114.17563,Private room,180,30,1,2015-01-07,0.01,383,365,0,
903169,Nice room available in Yau ma tei(y8b),4584648,Ivy,,Yau Tsim Mong,22.31188,114.17065,Private room,180,29,2,2018-09-30,0.02,383,365,0,
